business_name,phone_e164,city,category,demo_url,message
Waterhouse Construction,+16043255263,Vancouver,Construction company,https://jaggyai.github.io/bc-demos/vancouver/contractors/waterhouse-construction/,"Hi, it's Jag - I build websites for Vancouver businesses & built Waterhouse Construction a free demo: https://jaggyai.github.io/bc-demos/vancouver/contractors/waterhouse-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
TideLine Mechanical,+16043186529,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/tideline-mechanical/,"Hi, it's Jag - I build websites for Vancouver businesses & built TideLine Mechanical a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/tideline-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Calley Mechanical Ltd.,+17782429084,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/calley-mechanical-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Calley Mechanical Ltd. a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/calley-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FIY,+16047103627,Vancouver,Repair service,https://jaggyai.github.io/bc-demos/vancouver/handyman/fiy/,"Hi, it's Jag - I build websites for Vancouver businesses & built FIY a free demo: https://jaggyai.github.io/bc-demos/vancouver/handyman/fiy/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
KANDU Bathroom Renovation,+17788983103,,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/kandu-bathroom-renovation/,"Hi, it's Jag - I build websites for BC businesses & built KANDU Bathroom Renovation a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/kandu-bathroom-renovation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Vancouver Plumbing,+17788196494,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/vancouver-plumbing/,"Hi, it's Jag - I build websites for Vancouver businesses & built Vancouver Plumbing a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/vancouver-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Trinity Plumbing Heating & Gas Inc,+16042513800,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/trinity-plumbing-heating-gas-inc/,"Hi, it's Jag - I build websites for Vancouver businesses & built Trinity Plumbing Heating & Gas Inc a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/trinity-plumbing-heating-gas-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
"Blueshore Mechanical, Plumbing & Heating",+16047282583,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/blueshore-mechanical-plumbing-heating/,"Hi, it's Jag - I build websites for Vancouver businesses & built Blueshore Mechanical, Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/blueshore-mechanical-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Northwoods Plumbing & Heating Ltd,+16046764363,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/northwoods-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Northwoods Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/northwoods-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Basement Leak Vancouver,+16047168654,Vancouver,Construction company,https://jaggyai.github.io/bc-demos/vancouver/contractors/basement-leak-vancouver/,"Hi, it's Jag - I build websites for Vancouver businesses & built Basement Leak Vancouver a free demo: https://jaggyai.github.io/bc-demos/vancouver/contractors/basement-leak-vancouver/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
