business_name,phone_e164,city,category,demo_url,message
VanSeal,+17783923774,Richmond,Asphalt contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/vanseal/,"Hi, it's Jag - I build websites for Richmond businesses & built VanSeal a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/vanseal/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Williams Living,+16048319966,Richmond,Home builder,https://jaggyai.github.io/bc-demos/richmond/contractors/williams-living/,"Hi, it's Jag - I build websites for Richmond businesses & built Williams Living a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/williams-living/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Kevin's Handyman Services,+16043624436,Richmond,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/richmond/handyman/kevins-handyman-services/,"Hi, it's Jag - I build websites for Richmond businesses & built Kevin's Handyman Services a free demo: https://jaggyai.github.io/bc-demos/richmond/handyman/kevins-handyman-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
MID design studio,+17789035279,Richmond,Interior designer,https://jaggyai.github.io/bc-demos/richmond/interior-design/mid-design-studio/,"Hi, it's Jag - I build websites for Richmond businesses & built MID design studio a free demo: https://jaggyai.github.io/bc-demos/richmond/interior-design/mid-design-studio/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Klassen Heating Ltd,+16042700110,Richmond,Heating contractor,https://jaggyai.github.io/bc-demos/richmond/hvac/klassen-heating-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Klassen Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/hvac/klassen-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
The Gas Man Heating Ltd.,+16042404081,Richmond,Gasfitter,https://jaggyai.github.io/bc-demos/richmond/plumbers/the-gas-man-heating-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built The Gas Man Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/the-gas-man-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Green Cedar Landscaping,+16044018025,Richmond,Landscape designer,https://jaggyai.github.io/bc-demos/richmond/landscapers/green-cedar-landscaping/,"Hi, it's Jag - I build websites for Richmond businesses & built Green Cedar Landscaping a free demo: https://jaggyai.github.io/bc-demos/richmond/landscapers/green-cedar-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Rising Force Fire Sprinkler Inc.,+17789890447,Richmond,Mechanical contractor,https://jaggyai.github.io/bc-demos/richmond/hvac/rising-force-fire-sprinkler-inc/,"Hi, it's Jag - I build websites for Richmond businesses & built Rising Force Fire Sprinkler Inc. a free demo: https://jaggyai.github.io/bc-demos/richmond/hvac/rising-force-fire-sprinkler-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Instrumentech Heating & Cooling Service,+16047222925,Richmond,HVAC contractor,https://jaggyai.github.io/bc-demos/richmond/hvac/instrumentech-heating-cooling-service/,"Hi, it's Jag - I build websites for Richmond businesses & built Instrumentech Heating & Cooling Service a free demo: https://jaggyai.github.io/bc-demos/richmond/hvac/instrumentech-heating-cooling-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
PlaidFox Studio,+17788321029,Richmond,Interior designer,https://jaggyai.github.io/bc-demos/richmond/interior-design/plaidfox-studio/,"Hi, it's Jag - I build websites for Richmond businesses & built PlaidFox Studio a free demo: https://jaggyai.github.io/bc-demos/richmond/interior-design/plaidfox-studio/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
