business_name,phone_e164,city,category,demo_url,message
BC marine repair and fiberglass,+12507146532,Nanaimo,Boat repair shop,https://jaggyai.github.io/bc-demos/nanaimo/local-business/bc-marine-repair-and-fiberglass/,"Hi, it's Jag - I build websites for Nanaimo businesses & built BC marine repair and fiberglass a free demo: https://jaggyai.github.io/bc-demos/nanaimo/local-business/bc-marine-repair-and-fiberglass/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Structured Cable Systems,+12507166856,Nanaimo,Electrician,https://jaggyai.github.io/bc-demos/nanaimo/electricians/structured-cable-systems/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Structured Cable Systems a free demo: https://jaggyai.github.io/bc-demos/nanaimo/electricians/structured-cable-systems/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
C & M Development Inc,+12507567732,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/c-m-development-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built C & M Development Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/c-m-development-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Stonescape Contracting Ltd,+12507588468,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/stonescape-contracting-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Stonescape Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/stonescape-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Exterior Concepts,+12507600239,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/exterior-concepts/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Exterior Concepts a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/exterior-concepts/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fall Cleanup Service Nanaimo,+17787440954,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/fall-cleanup-service-nanaimo/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Fall Cleanup Service Nanaimo a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/fall-cleanup-service-nanaimo/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
M&C Custom Decks,+12506184536,Nanaimo,Deck builder,https://jaggyai.github.io/bc-demos/nanaimo/fence-deck/m-c-custom-decks/,"Hi, it's Jag - I build websites for Nanaimo businesses & built M&C Custom Decks a free demo: https://jaggyai.github.io/bc-demos/nanaimo/fence-deck/m-c-custom-decks/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Bill Baines Landscaping,+12507133366,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/bill-baines-landscaping/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Bill Baines Landscaping a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/bill-baines-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Astride Modern,+12507167222,Nanaimo,Interior designer,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/astride-modern/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Astride Modern a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/astride-modern/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Endeavour Landscaping & Irrigation,+12509270174,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/endeavour-landscaping-irrigation/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Endeavour Landscaping & Irrigation a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/endeavour-landscaping-irrigation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
